subject;language;year;value
snakes;EN;2008;96600
teeth;EN;2008;200
your teeth falling out;EN;2008;200
cockroaches;ES;2008;43150
ants;ES;2008;35450
babies;ES;2008;29550
children;ES;2008;14750
vipers;ES;2008;11050
mice;ES;2008;200
fire;ES;2008;170
snakes;ES;2008;150
water;ES;2008;140
bulls;ES;2008;110
rats;ES;2008;100
lions;ES;2008;90
the sea;ES;2008;90
spiders;ES;2008;70
lice;ES;2008;60
cats;ES;2008;50
pregnancy;ES;2008;50
teeth;ES;2008;50
wedding;ES;2008;50
dogs;ES;2008;40
money;ES;2008;40
losing your teeth;FR;2008;200
wedding;FR;2008;60
snakes;PO;2008;33250
teeth;PO;2008;130
wedding dress;PO;2008;90
water;PO;2008;50
spiders;EN;2009;204200
snakes;EN;2009;127500
your teeth are falling out;EN;2009;91000
being pregnant;EN;2009;61400
flying;EN;2009;49550
your boyfriend cheating on you;EN;2009;40950
someone you like;EN;2009;40800
your ex;EN;2009;12900
someone;EN;2009;1350
falling;EN;2009;200
teeth;EN;2009;170
tornado;EN;2009;160
your ex boyfriend;EN;2009;130
my ex;EN;2009;70
someone;ES;2009;350750
falling teeth;ES;2009;350100
ants;ES;2009;35850
bulls;ES;2009;24500
spiders;ES;2009;20500
lice;ES;2009;20250
elves;ES;2009;19450
being pregnant;ES;2009;18850
monkeys;ES;2009;16850
cemetery;ES;2009;16700
big rats;ES;2009;15350
bats;ES;2009;11750
crocodiles;ES;2009;9500
police;ES;2009;9400
earthquake;ES;2009;4850
a lion;ES;2009;4700
fish;ES;2009;4600
vipers;ES;2009;700
marriage;ES;2009;600
rain;ES;2009;500
sex;ES;2009;500
worms;ES;2009;500
cockroaches;ES;2009;400
infidelity;ES;2009;350
rats;ES;2009;300
your ex boyfriend;ES;2009;300
snakes;ES;2009;250
toads;ES;2009;250
cats;ES;2009;200
wedding;ES;2009;200
fire;ES;2009;160
newborn baby;ES;2009;140
a baby;ES;2009;120
money;ES;2009;100
teeth;ES;2009;100
tooth falling;ES;2009;100
dogs;ES;2009;90
theft;ES;2009;80
teeth;FR;2009;400
cat;FR;2009;200
losing teeth;FR;2009;160
your ex;FR;2009;140
snake;FR;2009;130
ex boyfriend;PO;2009;66750
lice;PO;2009;59800
fire;PO;2009;52200
mice;PO;2009;47850
dog;PO;2009;37050
ants;PO;2009;31850
scorpion;PO;2009;23350
motorcycle;PO;2009;21250
snake;PO;2009;7350
pregnancy;PO;2009;550
spider;PO;2009;350
the sea;PO;2009;200
tooth;PO;2009;170
baby;PO;2009;150
cockroaches;PO;2009;150
mouse;PO;2009;130
treachery;PO;2009;130
home;PO;2009;110
fish;PO;2009;100
betrayal;PO;2009;70
frog;PO;2009;70
teeth;PO;2009;60
alligator;PO;2009;40
child;PO;2009;40
a wedding;RU;2009;44600
having a baby;EN;2010;116800
someone you like;EN;2010;77900
being pregnant;EN;2010;71200
someone;EN;2010;44650
flying;EN;2010;35700
your teeth falling out;EN;2010;30250
snakes;EN;2010;22650
zombies;EN;2010;22650
cheating;EN;2010;19450
losing teeth;EN;2010;18850
rats;EN;2010;17900
tsunami;EN;2010;13950
spiders;EN;2010;8400
fish;EN;2010;650
horse;EN;2010;350
bees;EN;2010;250
end of the world;EN;2010;200
tornado;EN;2010;200
dream within a dream;EN;2010;180
your ex;EN;2010;150
a spider;EN;2010;50
fish;ES;2010;45900
ants;ES;2010;41300
frogs;ES;2010;34200
the end of the world;ES;2010;27650
wedding;ES;2010;24550
elephants;ES;2010;16900
zombies;ES;2010;16500
a tiger;ES;2010;15450
a mouse;ES;2010;15300
dolphins;ES;2010;12400
having a child;ES;2010;12350
dogs that attack you;ES;2010;12300
tigers;ES;2010;12300
fleas;ES;2010;12200
someone you like;ES;2010;12150
needles;ES;2010;9300
bills;ES;2010;9250
babies;ES;2010;9000
bats;ES;2010;8200
eggs;ES;2010;6300
lizards;ES;2010;6200
cockroaches;ES;2010;6150
earthworms;ES;2010;6150
gray rats;ES;2010;6000
black cats;ES;2010;4000
bread;ES;2010;550
nails;ES;2010;350
scorpions;ES;2010;350
gold;ES;2010;300
toads;ES;2010;300
crocodiles;ES;2010;250
ex boyfriend;ES;2010;200
snow;ES;2010;200
the dead;ES;2010;200
the quiniela;ES;2010;200
marriage;ES;2010;190
pregnancy;ES;2010;170
the sea;ES;2010;120
bees;ES;2010;110
dogs;ES;2010;110
horses;ES;2010;90
worms;ES;2010;90
lice;ES;2010;80
newborn baby;ES;2010;80
someone;ES;2010;50
snake;FR;2010;41500
turtle;FR;2010;20200
losing all your teeth;FR;2010;13350
your ex;FR;2010;200
being pregnant;FR;2010;140
snow;FR;2010;80
cat;FR;2010;60
wedding;FR;2010;60
fire;FR;2010;40
lice;FR;2010;40
pregnancy;FR;2010;40
teeth;FR;2010;40
the end of the world;FR;2010;40
snake;JP;2010;63600
bat;PO;2010;34950
mouse;PO;2010;34000
cats;PO;2010;19950
crying;PO;2010;19700
cell phone;PO;2010;19650
scorpion;PO;2010;16000
lice;PO;2010;15750
dogs;PO;2010;13350
ladder;PO;2010;13200
people who had died;PO;2010;13000
big toad;PO;2010;5300
church;PO;2010;600
rain;PO;2010;550
a fight;PO;2010;500
flowers;PO;2010;450
fish;PO;2010;350
child;PO;2010;300
cow;PO;2010;300
falling tooth;PO;2010;300
fire;PO;2010;300
ex boyfriend;PO;2010;250
fighting;PO;2010;250
spider;PO;2010;250
dirty water;PO;2010;200
wedding ring;PO;2010;200
hair;PO;2010;190
father;PO;2010;160
baby;PO;2010;150
cemetery;PO;2010;140
frog;PO;2010;140
teeth;PO;2010;140
the sea;PO;2010;140
a loved one;PO;2010;130
snakes;PO;2010;130
water;PO;2010;130
cat;PO;2010;120
meat;PO;2010;120
pregnancy;PO;2010;120
the beach;PO;2010;120
horse;PO;2010;110
tooth;PO;2010;110
money;PO;2010;100
treason;PO;2010;100
a spider;PO;2010;90
mice;PO;2010;70
pig;PO;2010;60
gold;RU;2010;48250
wedding dress;RU;2010;48000
meat;RU;2010;32000
a snake;RU;2010;31950
pregnancy;RU;2010;31950
a bus;RU;2010;31900
fire;RU;2010;16000
graveyard;RU;2010;16000
rat;RU;2010;15900
fish;RU;2010;190
a wedding;RU;2010;120
kiss;RU;2010;90
gold;AR;2011;69300
crying;AR;2011;140
pregnancy;AR;2011;60
mouse;AR;2011;50
teeth falling out;EN;2011;29800
tornado;EN;2011;19200
rats;EN;2011;19050
the devil;EN;2011;15150
having a baby;EN;2011;14800
babies;EN;2011;14200
sharks;EN;2011;12900
losing teeth;EN;2011;12500
your boyfriend cheating on you;EN;2011;6550
alligators;EN;2011;6200
deceased person;EN;2011;4300
spiders;EN;2011;600
fish;EN;2011;500
being chased;EN;2011;400
someone;EN;2011;300
money;EN;2011;250
snakes;EN;2011;250
an ex;EN;2011;200
falling;EN;2011;200
someone you like;EN;2011;190
tiger;EN;2011;180
water;EN;2011;180
crocodile;EN;2011;150
tattoo;EN;2011;130
owl;EN;2011;120
dinosaur;EN;2011;110
cats;EN;2011;90
elephant;EN;2011;80
pregnancy;EN;2011;80
snake bite;EN;2011;80
cheating;EN;2011;70
fire;EN;2011;70
wedding;EN;2011;50
a baby;ES;2011;59000
falling tooth;ES;2011;29400
crickets;ES;2011;10500
your hair is cut;ES;2011;8750
tsunami;ES;2011;8650
parrots;ES;2011;8450
my boyfriend cheats on me;ES;2011;5150
being barefoot;ES;2011;3400
your boyfriend is cheating you;ES;2011;3400
demons;ES;2011;550
tarantulas;ES;2011;500
tigers;ES;2011;450
a friend is pregnant;ES;2011;400
cows;ES;2011;400
frogs;ES;2011;400
being pregnant;ES;2011;300
UFOs;ES;2011;300
bats;ES;2011;250
toads;ES;2011;250
white rats;ES;2011;250
monkeys;ES;2011;200
rats;ES;2011;200
fleas;ES;2011;190
silver;ES;2011;160
stairs;ES;2011;160
hair;ES;2011;150
spiders;ES;2011;150
raw meat;ES;2011;140
snails;ES;2011;140
snakes;ES;2011;140
wasps;ES;2011;140
fights;ES;2011;130
scorpions;ES;2011;130
turtles;ES;2011;100
getting married;ES;2011;90
the end of the world;FR;2011;5500
crocodile;FR;2011;5400
flying;FR;2011;5350
fish;FR;2011;200
snake;FR;2011;200
losing teeth;FR;2011;140
rat;FR;2011;140
dog;FR;2011;120
hair;FR;2011;110
being pregnant;FR;2011;60
cat;FR;2011;60
fire;FR;2011;60
getting married;FR;2011;60
losing hair;FR;2011;60
rain;FR;2011;50
car;FR;2011;40
earthquake;JP;2011;65000
butterfly ?;JP;2011;21650
scary dream;JP;2011;170
snake;PO;2011;22700
broken tooth;PO;2011;11650
toad;PO;2011;11000
pig;PO;2011;650
being pregnant;PO;2011;500
black dog;PO;2011;450
green snake;PO;2011;350
stairs;PO;2011;350
tooth;PO;2011;350
airplane;PO;2011;250
cat;PO;2011;250
cockroach;PO;2011;250
elevator;PO;2011;250
storm;PO;2011;250
travelling;PO;2011;250
bicycle;PO;2011;200
frogs;PO;2011;200
horse;PO;2011;200
marriage;PO;2011;200
spider;PO;2011;200
ant;PO;2011;190
cell phone;PO;2011;190
flood;PO;2011;190
mud;PO;2011;180
baby;PO;2011;170
bread;PO;2011;170
shoe;PO;2011;170
child;PO;2011;160
chocolate;PO;2011;160
money;PO;2011;160
bees;PO;2011;140
black snake;PO;2011;120
elephant;PO;2011;120
meat;PO;2011;120
alligator;PO;2011;110
treachery;PO;2011;100
lice;PO;2011;80
water;RU;2011;53050
kiss;RU;2011;52600
a spider;RU;2011;45300
